county,state,season,title,latitude,longitude,date,number,classification,geohash,temperature_high,temperature_mid,temperature_low,dew_point,humidity,cloud_cover,moon_phase,precip_intensity,precip_probability,precip_type,pressure,summary,uv_index,visibility,wind_bearing,wind_speed
Livingston Parish,Louisiana,Winter,Report 12087: Trapper experiences nighttime vocalizations,30.509,-90.6763,1/4/1997,12087,Class B,9vrt89gxc1,76.05,69.13,62.21,66.21,0.83,0.99,0.84,0,0,,1010.6,Breezy and overcast throughout the day.,3,10,199,16.24
La Salle Parish,Louisiana,Spring,"Report 1458: A motorist observed a hunched over, brownish-red creature crossing the road #2. Cast made of a 12"" track, only a couple of days old, that was found 1/2 to 3/4 of a mile into the woods by BFRO investigator Scott Kessler",31.6825,-92.3104,4/5/2000,1458,Class A,9vwk5rtegy,73.08,61.51,49.94,43.04,0.63,0,0.03,,,rain,1021.19,Clear throughout the day.,9,10,197,5.98
Jefferson Davis Parish,Louisiana,Fall,Report 7715: Duck hunters have early morning encounter,30.2576,-92.6221,10/14/1972,7715,Class A,9vqhhk4xk9,,,,,,,,,,,,,,,,
Jefferson Parish,Louisiana,Spring,Report 56107: Memory told of a nighttime sighting while working as a police officer answering a prowler call in Marrero,29.5385,-90.593,5/15/1970,56107,Class A,9vr84924np,86.4,,,62.81,0.61,0.9,0.32,,,rain,,Mostly cloudy throughout the day.,5,6.6,122,3.6
Grant Parish,Louisiana,Unknown,,,,,1456,Class B,,,,,,,,,,,,,,,,,
Franklin Parish,Louisiana,Summer,Report 23745: Man recounts boyhood sighting at home near Jigger,32.0131,-91.14448,6/15/1980,23745,Class A,9vxnjgy9gd,,,,,,,,,,,,,,,,
East Feliciana Parish,Louisiana,Winter,Report 4552: Strange late night sounds heard near Norwood,30.96745,-91.0955,1/28/2001,4552,Class B,9vx0pj6q2z,69.22,65.265,61.31,57.34,0.88,0.94,0.13,0,0,,1021.08,Light precipitation overnight.,3,7.16,112,11.41
East Baton Rouge Parish,Louisiana,Summer,Report 6530: Child has encounter while playing near a creek,30.49905,-91.01565,6/5/1982,6530,Class A,9vrm8bhmvd,94.08,83.08,72.08,70.47,0.66,0.03,0.47,0,0,,1013.63,Partly cloudy until afternoon.,11,8,354,4.34
Claiborne Parish,Louisiana,Spring,,,,,5021,Class B,,,,,,,,,,,,,,,,,
Claiborne Parish,Louisiana,Spring,,,,,2080,Class A,,,,,,,,,,,,,,,,,
Franklin Parish,Louisiana,Fall,,,,,2388,Class A,,,,,,,,,,,,,,,,,
Grant Parish,Louisiana,Winter,Report 1537: Forest Service surveyor finds over 20 large foot prints along a forest service road,31.4871,-92.3309,12/6/1996,1537,Class A,9vw74un9wh,76.98,66.8,56.62,59.39,0.85,0.51,0.86,,,rain,1008.79,Mostly cloudy until afternoon.,2,8.91,214,9.55
Grant Parish,Louisiana,Winter,Report 28954: Possible encounter by hunters camping in the Kisatchie National Forest,31.41787,-92.28034,2/15/2010,28954,Class B,9vw6sp7w25,48.45,37.285,26.12,22.11,0.55,0.11,0.05,0,0,,1020.77,Clear throughout the day.,6,9.97,301,5.22
Grant Parish,Louisiana,Winter,Report 56576: Homeowner describes ongoing activity from a neighboring swamp and takes interesting photos outside Colfax,31.368,-92.422,1/21/2017,56576,Class B,9vw62yk7g7,71.05,62.44,53.83,61.19,0.91,0.51,0.8,0.0106,0.8,rain,1001.69,Mostly cloudy starting in the afternoon.,4,8.11,156,2.22
La Salle Parish,Louisiana,Fall,Report 1536: Two teenage deer hunters have encounter while hunting,31.6825,-92.3104,11/18/2000,1536,Class A,9vwk5rtegy,39.67,38.37,37.07,37.11,0.95,0.95,0.75,0.0439,1,rain,1023.1,Rain throughout the day.,3,7.72,43,7.76
Natchitoches Parish,Louisiana,Winter,Report 13350: Hunter observes upright hairy creature in the Kisatchie National Forest,32.0199,-92.914,12/22/2005,13350,Class A,9vtyjtn16v,53.29,42.545,31.8,34.76,0.74,0.39,0.72,0,0,,1026.61,Overcast in the morning.,3,8.52,186,0.71
Rapides Parish,Louisiana,Summer,Report 1460: Two Large Creatures Were Seen Coming Out of Creek,31.1375,-92.4976,7/15/1977,1460,Class A,9vw1phmm1d,94.38,84.015,73.65,70.4,0.66,0.48,0.97,0,0,,1019.09,Partly cloudy throughout the day.,10,6.68,84,2.54
Rapides Parish,Louisiana,Unknown,Report 1459: Witness looked  up into the eyes of Bigfoot,31.3799,-92.37835,7/15/1978,1459,Class A,9vw69bs1hm,95.62,84.74,73.86,67.28,0.62,0.79,0.33,0.0041,1,rain,1012.76,Humid and mostly cloudy throughout the day.,5,7.64,224,2.76
Rapides Parish,Louisiana,Fall,Report 26124: Man recalls seeing a large creature walk across his yard near Tioga,31.40304,-92.46844,10/15/1980,26124,Class A,9vw4xudxcn,84.78,75.875,66.97,59,0.69,0.46,0.2,0,0,,1016.38,Foggy in the morning.,4,6.15,152,4.21
Rapides Parish,Louisiana,Summer,Report 1461: Witnesses saw Creature next to a Broken Tree,31.3058,-92.4054,6/1/1981,1461,Class A,9vw61703w0,87.59,78.795,70,67.2,0.75,0.57,0.97,0,0,,1012.71,Humid and mostly cloudy throughout the day.,7,6.35,174,1.33
Rapides Parish,Louisiana,Summer,Report 5609: Child has encounter while looking at the night sky,31.3904,-92.3495,7/1/1985,5609,Class A,9vw6dd3nkd,93.89,83.39,72.89,65.5,0.63,0.4,0.47,0.0082,1,rain,1019.56,Rain overnight.,10,6.65,199,3.12
Rapides Parish,Louisiana,Summer,Report 3777: Logger has two encounters over three day period,31.4676,-92.2508,8/22/2000,3777,Class A,9vw7hb9009,97.99,83.755,69.52,72.46,0.78,0.15,0.75,,,rain,1019.68,Light rain in the evening.,9,7.68,143,2.23
Vernon Parish,Louisiana,Summer,Report 7236: Pre-teens encounter 2 ape like creatures while exploring the woods,31.14195,-93.2952,7/5/1980,7236,Class A,9vt9jj0x02,,,,,,,,,,,,,,,,
Calcasieu Parish,Louisiana,Fall,,,,,23018,Class A,,,,,,,,,,,,,,,,,
Caddo Parish,Louisiana,Fall,Report 1313:  creature walked directly towards witness.,32.7817,-93.9467,11/15/1987,1313,Class A,9vv4qpwp5p,71.16,66.655,62.15,62.59,0.86,0.98,0.81,0.1184,1,rain,1012.01,Breezy until afternoon and heavy rain starting in the evening.,3,6.78,138,11.56
Avoyelles Parish,Louisiana,Fall,Report 24413: Woman recounts a tale her Grandfather told her about a frightening incident near Horseshoe Lake,31.08774,-91.84467,10/14/1925,24413,Class B,9vw8y52g0n,,,,,,,,,,,,,,,,
Ascension Parish,Louisiana,Summer,,,,,1282,Class C,,,,,,,,,,,,,,,,,
Allen Parish,Louisiana,Fall,"Report 1278: While hunting with his dog, a hunter observes a creature in the brush",30.8346,-92.64896,11/15/1980,1278,Class B,9vqp7tr0df,,,,,,,,,,,,,,,,
Franklin County,Massachusetts,Summer,Report 46780: Possible nighttime sighting while driving over a bridge near Charlemont,42.64809,-72.91994,4/20/2015,46780,Class B,drs4sev74h,44.56,44.49,44.42,37.15,0.82,0.82,0.07,0.0164,1,rain,1012.19,Rain in the morning and afternoon.,4,9.16,115,5.07
Essex County,Massachusetts,Spring,,,,,6631,Class A,,,,,,,,,,,,,,,,,
Bristol County,Massachusetts,Winter,Report 25364: Federal law enforcement agent describes possible snow tracks on private land adjacent to Pakamansett River @ 10 miles from Hockomock Swamp (w/ Photos),41.60551,-70.97708,5/17/2009,25364,Class B,drms8yh1dj,59.37,54.23,49.09,52.15,0.81,0.86,0.76,0.0062,0.92,rain,1013.87,Rain in the morning.,4,8.33,266,3.11
Barnstable County,Massachusetts,Winter,Report 20562: Man describes possible sighting in childhood near Sandwich,41.73125,-70.48792,12/15/1977,20562,Class B,drmvkhbq0k,51.49,40.895,30.3,40.6,0.82,0.57,0.18,,,rain,1006.42,Foggy in the morning.,1,5.48,309,5.78
Washington County,Maryland,Summer,,,,,232,Class A,,,,,,,,,,,,,,,,,
Prince George's County,Maryland,Spring,,,,,1171,Class A,,,,,,,,,,,,,,,,,
Montgomery County,Maryland,Summer,Report 10778: Vocals and thrown objects experienced by two friends exploring,39.21564,-77.4608,8/15/1994,10778,Class B,dqbzj6fz8t,78.91,71.415,63.92,58.53,0.68,0.74,0.3,,,rain,1017.08,Mostly cloudy throughout the day.,5,9.7,337,3.82
Howard County,Maryland,Summer,,,,,1169,Class A,,,,,,,,,,,,,,,,,
Harford County,Maryland,Unknown,,,,,1168,Class B,,,,,,,,,,,,,,,,,
Harford County,Maryland,Summer,,,,,1167,Class A,,,,,,,,,,,,,,,,,
Harford County,Maryland,Fall,Report 31814: Memories told of several incidents including an observation through a rifle scope while target practicing outside Street,39.67183,-76.34047,9/15/1993,31814,Class A,dr19wy494j,87.81,,,69.83,0.74,0.33,0.98,,,rain,1016.57,Partly cloudy starting in the afternoon.,7,7.22,205,7.65
Harford County,Maryland,Fall,,,,,329,Class A,,,,,,,,,,,,,,,,,
Harford County,Maryland,Winter,,,,,1166,Class B,,,,,,,,,,,,,,,,,
Harford County,Maryland,Summer,,,,,7651,Class B,,,,,,,,,,,,,,,,,
Montgomery County,Maryland,Summer,,,,,1170,Class A,,,,,,,,,,,,,,,,,
Montgomery County,Maryland,Winter,Report 46620: Possible nighttime sighting through a living room window near Potomac,39.06392,-77.2948,3/15/2014,46620,Class B,dqcn1p7eud,64.45,50.53,36.61,25.2,0.32,0.42,0.46,0,0,,1012.67,Mostly cloudy until afternoon.,5,7.02,261,2.41
Prince George's County,Maryland,Summer,,,,,50159,Class B,,,,,,,,,,,,,,,,,
Washington County,Maryland,Spring,Report 29330: Recollection of possible vocalizations and brush crashing while camping in the Lil-Aaron Straus Wilderness Area,39.64819,-78.32549,5/15/1989,29330,Class B,dr0399tp7y,60.07,56.02,51.97,55.45,1,1,0.34,,,rain,1013.78,Foggy throughout the day.,5,1.25,103,1.94
Barnstable County,Massachusetts,Fall,,,,,1198,Class C,,,,,,,,,,,,,,,,,
Berkshire County,Massachusetts,Summer,,,,,1199,Class A,,,,,,,,,,,,,,,,,
Berkshire County,Massachusetts,Winter,,,,,32670,Class B,,,,,,,,,,,,,,,,,
Berkshire County,Massachusetts,Summer,Report 49697: Daytime sighting while traveling on US-7 North of Williamstown,42.7396,-73.21289,9/5/2015,49697,Class A,dregnh800n,81.39,67.5,53.61,56.15,0.71,0.03,0.75,0,0,,1023.96,Clear throughout the day.,7,9.94,172,0.14
Berkshire County,Massachusetts,Fall,Report 56293: Another possible encounter along Appalachian Trail,42.07867,-73.38644,9/11/2015,56293,Class B,dr7z6h1wh0,75.7,65.36,55.02,61.13,0.86,0.67,0.95,0.0072,1,rain,1007.45,Mostly cloudy until afternoon.,5,9.33,358,1.1
Berkshire County,Massachusetts,Fall,,,,,49877,Class B,,,,,,,,,,,,,,,,,
Berkshire County,Massachusetts,Fall,Report 46973: Hikers hear possible knocks and howls in The Berkshires,42.34607,-73.16418,11/6/2015,46973,Class B,drebzhg7xp,66.42,56.68,46.94,57.75,0.9,0.66,0.85,0,0,,1012.35,Mostly cloudy until evening.,2,9.88,226,2.05
Berkshire County,Massachusetts,Winter,Report 51359: Man records possible wood knocks in Southern Berkshires,42.08354,-73.47686,2/28/2016,51359,Class B,dr7xrvpf3h,52.61,45.54,38.47,27.71,0.63,0.18,0.68,0,0,,1009.19,Mostly cloudy overnight.,4,10,212,2.34
Berkshire County,Massachusetts,Spring,"Report 51847: Hikers have possible daytime encounter on state's highest peak, Mount Greylock",42.63678,-73.16617,4/30/2016,51847,Class B,drefx1f10x,55.59,47.48,39.37,37.24,0.74,0.66,0.77,0,0,,1021.45,Mostly cloudy until evening.,9,8.98,247,0.66
Bristol County,Massachusetts,Summer,Report 26277: Night sighting by a motorist near Freetown,41.74419,-70.95906,7/6/2010,26277,Class A,drmt3r31w1,96.43,85.06,73.69,69.69,0.65,0.05,0.82,0,0,,1014.4,Humid throughout the day.,10,9.41,1,0.34
Essex County,Massachusetts,Summer,,,,,41492,Class B,,,,,,,,,,,,,,,,,
Hampden County,Massachusetts,Fall,Report 38386: Night fisherman has possible encounter at the Cobble Mountain Reservoir,42.12302,-72.89154,10/1/2000,38386,Class B,drkptk602h,67.09,56.35,45.61,46.91,0.88,0.38,0.13,0.0005,0.62,rain,1021.84,Foggy in the morning.,5,6.89,183,2.61
Hampden County,Massachusetts,Winter,Report 28667: Resident hears possible early morning vocalizations near Westfield,42.08179,-72.82665,8/14/2011,28667,Class B,drkpquc20n,68.66,66.785,64.91,64.26,0.92,0.98,0.53,0.0197,1,rain,1013.36,Rain starting in the afternoon.,4,8.04,154,0.49
Plymouth County,Massachusetts,Summer,"Report 8972: Possible vocalizations heard by residents in the ""Bridgewater Triangle""",42.12697,-70.97559,7/13/1979,8972,Class B,drmx8uvpku,90.76,81.14,71.52,68.33,0.71,0.34,0.64,0,0,,1010.37,Partly cloudy starting in the afternoon and humid throughout the day.,10,5.3,259,2.78
Plymouth County,Massachusetts,Fall,Report 20670: Unrecognized wailing heard near Scituate,42.17865,-70.75587,11/25/2000,20670,Class B,drmxvymhkw,34.3,31.555,28.81,11.49,0.55,0.05,0.99,0,0,,1031.74,Partly cloudy in the morning.,2,9.98,233,1.32
Plymouth County,Massachusetts,Spring,Report 25719: Wood Knocks Heard Near Assawompsett Pond,41.83664,-70.89049,11/17/2009,25719,Class B,drmw4b5h5f,49.45,42.65,35.85,30.49,0.63,0.04,0.03,0,0,,1024.96,Mostly cloudy overnight.,2,10,20,2.97
Plymouth County,Massachusetts,Summer,Report 44263: Road crossing and a close call with a vehicle during the day outside Hanson,42.09091,-71.42092,6/25/2013,44263,Class A,drmpqy2v7f,89.78,79.895,70.01,68.03,0.74,0.19,0.58,0.0003,0.25,rain,1010.8,Partly cloudy starting in the evening.,10,9.87,245,1.48
Plymouth County,Massachusetts,Spring,Report 49512: Possible structure found when checking out the location of a sighting near Lakeville,41.85164,-70.95207,4/9/2015,49512,Class B,drmw16y72z,39.16,38.115,37.07,34.76,0.92,1,0.67,0.0082,1,rain,1026.71,Light rain in the morning.,4,3.6,48,6.49
Ascension Parish,Louisiana,Fall,Report 514: Early evening sighting by motorist near Sorrento,30.1878,-90.8493,10/23/2000,514,Class A,9vr7sxt89v,83.21,70.245,57.28,62.69,0.75,0.17,0.87,0,0,,1026.63,Mostly cloudy until afternoon.,4,8.05,99,7.16
Fredrick County,Maryland,Spring,,,,,6249,Class B,,,,,,,,,,,,,,,,,
Dorchester County,Maryland,Spring,Report 25137: Memory told of a possible late night sighting while driving near Hurlock,38.63295,-75.80465,4/15/1999,25137,Class B,dqf5g0btpx,62.72,54.635,46.55,37.14,0.6,0.56,0.98,,,rain,1008.89,Light rain in the afternoon.,6,9.04,125,0.85
Cecil County,Maryland,Spring,,,,,45266,Class B,,,,,,,,,,,,,,,,,
Carroll County,Maryland,Spring,,,,,231,Class A,,,,,,,,,,,,,,,,,
Baltimore County,Maryland,Spring,,,,,2666,Class A,,,,,,,,,,,,,,,,,
Allegany County,Maryland,Summer,,,,,1748,Class A,,,,,,,,,,,,,,,,,
Waldo County,Maine,Fall,Report 51005: Trail camera captures unknown creature on hunting property near Burnham,44.6908,-69.3614,1/30/2016,51005,Class B,drywjxswf0,36.03,33.83,31.63,25.51,0.8,0.74,0.71,0.0003,0.57,snow,1012.48,Mostly cloudy throughout the day.,2,9.62,251,1.48
Piscataquis County,Maine,Fall,Report 8259: Hunters find scat and have large rock thrown at them,46.1333,-68.8405,11/15/1970,8259,Class B,f2pn3qrcun,,,,,,,,,,,,,,,,
Penobscot County,Maine,Summer,,,,,1189,Class A,,,,,,,,,,,,,,,,,
Oxford County,Maine,Summer,,,,,3229,Class B,,,,,,,,,,,,,,,,,
Hancock County,Maine,Unknown,,,,,1188,Class A,,,,,,,,,,,,,,,,,
Cumberland County,Maine,Summer,,,,,1186,Class A,,,,,,,,,,,,,,,,,
Androscoggin County,Maine,Fall,,,,,859,Class A,,,,,,,,,,,,,,,,,
Wayne County,Michigan,Unknown,,,,,48824,Class B,,,,,,,,,,,,,,,,,
Washtenaw County,Michigan,Summer,Report 24620: Man recalls family experiencing possible intimidation near Ann Arbor,42.2375,-83.67,7/30/1974,24620,Class B,dps8211778,77.74,66.34,54.94,52.74,0.59,0.52,0.39,0,0,,1011.26,"Mostly cloudy until evening and breezy starting in the afternoon, continuing until evening.",6,10,269,12.87
Tuscola County,Michigan,Spring,,,,,823,Class B,,,,,,,,,,,,,,,,,
Tuscola County,Michigan,Winter,"Report 5321: Having morning coffee and looking out the window, man sees tall black ""ape"" walking in his woods.",43.41444,-83.18583,2/15/1999,5321,Class A,dpsygp3gmw,48.09,40.88,33.67,24.53,0.65,0.02,0.98,,,rain,,Mostly cloudy overnight.,3,10,211,6.39
Washtenaw County,Michigan,Summer,Report 8351: Father describes possible late night vocalizations heard by his boys near Willis,42.15965,-83.55718,6/19/1999,8351,Class B,dpkxfdgtb8,72.21,64.09,55.97,49.7,0.62,0,0.21,0,0,,1028.63,Clear throughout the day.,10,10,126,4.98
Washtenaw County,Michigan,Winter,"Report 3007: Bare, wide footprints seen in the mud of a February thaw",42.285,-83.59014,2/15/2001,3007,Class B,dps89cexbx,32.14,30.375,28.61,24.01,0.8,0.9,0.76,0,0,,1018.55,Mostly cloudy throughout the day.,3,9.81,57,4.1
